แก้ว,ข้ารับใช้,0.058
อาหาร,ลายเซ็น,0.068
อัญมณี,ลายเซ็น,0.098
ฝั่งทะเล,รถยนต์,0.11
สุนัข,เครื่องมือ,0.123
การเดินทาง,สุสาน,0.135
เที่ยงวัน,โรงละคร,0.175
เที่ยงวัน,การท่องเที'ยว,0.225
ยานพาหนะ,เพรชพลอย,0.243
เนินเขา,ผลไม้,0.278
นักมายากล,ถ้วย,0.278
ป่าช้า,หมา,0.293
ฝั่งทะเล,พงไพร,0.318
นักมายากล,เครื่องมือ,0.32
การเดินทาง,กลางวัน,0.343
นิตยสาร,ป้า,0.415
นักบวช,หนังสือ,0.42
เด็กผู้ชาย,หมา,0.44
สุนัข,เด็กหนุ่ม,0.53
วัด,พงไพร,0.54
ทาส,หมา,0.555
อาหาร,ถ้วย,0.65
ครู,หนังสือ,0.983
พืช,ผ้าไหม,1.043
เด็กผู้ชาย,อาจารย์,1.083
โรงภาพยนต์,โบสถ์,1.095
ทาส,เด็กหนุ่ม,1.16
เนินเขา,ชายฝั่ง,1.175
ยานพาหนะ,เครื่องมือ,1.265
ผ้าฝ้าย,ต้นไม้,1.283
อุปกรณ์,รถยนต์,1.336
ลุง,อาจารย์,1.41
ป่าไม้,ผลไม้,1.551
ครู,ป้า,1.625
นักบวช,พ่อมด,1.72
แก้ว,เพชรพลอย,1.923
นักมายากล,พ่อมด,2.01
วัด,สุสาน,2.15
พืช,พงไพร,2.21
ป่าไม้,ภูเขา,2.255
อาหาร,ผลไม้,2.363
แกว้,ถ้วย,2.413
วัด,พระ,2.675
ลุง,ป้า,2.743
ป่าไม้,ต้นไม้,2.905
โรงภาพยนต์,โรงละคร,3.018
เนินเขา,ภูเขา,3.023
เด็กผู้ชาย,เด็กหนุ่ม,3.03
ผ้าฝ้าย,ผ้าไหม,3.05
ยานพาหนะ,รถยนต์,3.105
ฝั'งทะเล,ชายฝั'ง,3.118
อุปกรณ์,เครื่องมือ,3.12
ทาส,ข้ารับใช้,3.14
การเดินทาง,การท่องเที่ยว,3.188
นิตยสาร,หนังสือ,3.198
ลายมือชื่อ,ลายเซ็น,3.21
เที่ยงวัน,กลางวัน,3.235
ป่าไม้,พงไพร,3.303
อัญมณี,เพชรพลอย,3.318
พืช,ต้นไม้,3.41
นักบวช,พระ,3.575
ป่าช้า,สุสาน,3.625
วัด,โบสถ์,3.693
ครู,อาจารย์,3.783
สุนัข,หมา,3.923
