#num,thai1,en1,thai2,en2,avg_rating,stddev
1,แก้ว,Glass,ข้ารับใช้,Serf,0.058,0.162
2,อาหาร,Food,ลายเซ็น,Signature,0.068,0.206
3,อัญมณี,Gem,ลายเซ็น,Signature,0.098,0.251
4,ฝั่งทะเล,Coast,รถยนต์,Car,0.11,0.257
5,สุนัข,Dog,เครื่องมือ,Tool,0.123,0.335
6,การเดินทาง,Journey,สุสาน,Graveyard,0.135,0.35
7,เที่ยงวัน,Midday,โรงละคร,Theatre,0.175,0.506
8,เที่ยงวัน,Midday,การท่องเที'ยว,Voyage,0.225,0.509
9,ยานพาหนะ,Automobile,เพรชพลอย,Jewel,0.243,0.511
10,เนินเขา,Hill,ผลไม้,Fruit,0.278,0.39
11,นักมายากล,Magician,ถ้วย,Cup,0.278,0.499
12,ป่าช้า,Cemetery,หมา,Dog,0.293,0.506
13,ฝั่งทะเล,Coast,พงไพร,Woods,0.318,0.31
14,นักมายากล,Magician,เครื่องมือ,Tool,0.32,0.541
15,การเดินทาง,Journey,กลางวัน,Noon,0.343,0.581
16,นิตยสาร,Magazine,ป้า,Aunt,0.415,0.56
17,นักบวช,Priest,หนังสือ,Book,0.42,0.768
18,เด็กผู้ชาย,Boy,หมา,Dog,0.44,0.557
19,สุนัข,Dog,เด็กหนุ่ม,Lad,0.53,0.743
20,วัด,Temple,พงไพร,Woods,0.54,0.818
21,ทาส,Slave,หมา,Dog,0.555,0.636
22,อาหาร,Food,ถ้วย,Cup,0.65,0.846
23,ครู,Teacher,หนังสือ,Book,0.983,0.986
24,พืช,Plant,ผ้าไหม,Silk,1.043,0.988
25,เด็กผู้ชาย,Boy,อาจารย์,Lecturer,1.083,1.007
26,โรงภาพยนต์,Cinema,โบสถ์,Church,1.095,1.093
27,ทาส,Slave,เด็กหนุ่ม,Lad,1.16,0.884
28,เนินเขา,Hill,ชายฝั่ง,Shore,1.175,0.905
29,ยานพาหนะ,Automobile,เครื่องมือ,Tool,1.265,0.996
30,ผ้าฝ้าย,Cotton,ต้นไม้,Tree,1.283,1.02
31,อุปกรณ์,Implement,รถยนต์,Car,1.336,0.831
32,ลุง,Uncle,อาจารย์,Lecturer,1.41,1
33,ป่าไม้,Forest,ผลไม้,Fruit,1.551,0.805
34,ครู,Teacher,ป้า,Aunt,1.625,0.808
35,นักบวช,Priest,พ่อมด,Wizard,1.72,0.89
36,แก้ว,Glass,เพชรพลอย,Jewel,1.923,1.007
37,นักมายากล,Magician,พ่อมด,Wizard,2.01,0.969
38,วัด,Temple,สุสาน,Graveyard,2.15,0.805
39,พืช,Plant,พงไพร,Woods,2.21,1.005
40,ป่าไม้,Forest,ภูเขา,Mountain,2.255,1.045
41,อาหาร,Food,ผลไม้,Fruit,2.363,0.935
42,แกว้,Glass,ถ้วย,Cup,2.413,0.922
43,วัด,Temple,พระ,Monk,2.675,0.991
44,ลุง,Uncle,ป้า,Aunt,2.743,0.98
45,ป่าไม้,Forest,ต้นไม้,Tree,2.905,0.848
46,โรงภาพยนต์,Cinema,โรงละคร,Theatre,3.018,0.774
47,เนินเขา,Hill,ภูเขา,Mountain,3.023,0.787
48,เด็กผู้ชาย,Boy,เด็กหนุ่ม,Lad,3.03,0.407
49,ผ้าฝ้าย,Cotton,ผ้าไหม,Silk,3.05,0.758
50,ยานพาหนะ,Automobile,รถยนต์,Car,3.105,0.851
51,ฝั'งทะเล,Coast,ชายฝั'ง,Shore,3.118,0.408
52,อุปกรณ์,Implement,เครื่องมือ,Tool,3.12,0.856
53,ทาส,Slave,ข้ารับใช้,Serf,3.14,0.473
54,การเดินทาง,Journey,การท่องเที่ยว,Voyage,3.188,0.358
55,นิตยสาร,Magazine,หนังสือ,Book,3.198,0.62
56,ลายมือชื่อ,Autograph,ลายเซ็น,Signature,3.21,0.412
57,เที่ยงวัน,Midday,กลางวัน,Noon,3.235,0.445
58,ป่าไม้,Forest,พงไพร,Woods,3.303,0.438
59,อัญมณี,Gem,เพชรพลอย,Jewel,3.318,0.346
60,พืช,Plant,ต้นไม้,Tree,3.41,0.376
61,นักบวช,Priest,พระ,Monk,3.575,0.311
62,ป่าช้า,Cemetery,สุสาน,Graveyard,3.625,0.323
63,วัด,Temple,โบสถ์,Church,3.693,0.23
64,ครู,Teacher,อาจารย์,Lecturer,3.783,0.262
65,สุนัข,Dog,หมา,Dog,3.923,0.129
